frame,timestamp_ms,nose_x,nose_y,nose_z,nose_vis,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_vis,left_eye_x,left_eye_y,left_eye_z,left_eye_vis,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_vis,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_vis,right_eye_x,right_eye_y,right_eye_z,right_eye_vis,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_vis,left_ear_x,left_ear_y,left_ear_z,left_ear_vis,right_ear_x,right_ear_y,right_ear_z,right_ear_vis,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_vis,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_vis,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_vis,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_vis,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_vis,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_vis,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_vis,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_vis,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_vis,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_vis,left_index_x,left_index_y,left_index_z,left_index_vis,right_index_x,right_index_y,right_index_z,right_index_vis,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_vis,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_vis,left_hip_x,left_hip_y,left_hip_z,left_hip_vis,right_hip_x,right_hip_y,right_hip_z,right_hip_vis,left_knee_x,left_knee_y,left_knee_z,left_knee_vis,right_knee_x,right_knee_y,right_knee_z,right_knee_vis,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_vis,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_vis,left_heel_x,left_heel_y,left_heel_z,left_heel_vis,right_heel_x,right_heel_y,right_heel_z,right_heel_vis,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_vis,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_vis
0,0,0.12775841355323792,0.31834763288497925,-0.13192413747310638,0.9998456239700317,0.1178027093410492,0.3031424880027771,-0.17323461174964905,0.9998670816421509,0.11910554766654968,0.3039392828941345,-0.17330124974250793,0.9998471736907959,0.12060436606407166,0.3049700856208801,-0.17341086268424988,0.9998812675476074,0.1156301200389862,0.29768767952919006,-0.13184630870819092,0.9998284578323364,0.11531693488359451,0.2944697439670563,-0.13191775977611542,0.9997922778129578,0.11453399062156677,0.280029833316803,-0.13201002776622772,0.9998831748962402,0.13444410264492035,0.28304967284202576,-0.27328434586524963,0.9997246861457825,0.127735435962677,0.26177045702934265,-0.08936137706041336,0.9998847246170044,0.15190376341342926,0.3114834725856781,-0.15910688042640686,0.9998119473457336,0.1494738757610321,0.3072858452796936,-0.1046416312456131,0.999817430973053,0.23486393690109253,0.3334306478500366,-0.3569355010986328,0.9998692274093628,0.24020187556743622,0.19421599805355072,0.05891662836074829,0.9995225667953491,0.27627524733543396,0.5997499823570251,-0.3667522668838501,0.996745228767395,0.26026779413223267,0.4554715156555176,0.1450294703245163,0.5906697511672974,0.27707439661026,0.8194124102592468,-0.31193217635154724,0.9947308301925659,0.27507269382476807,0.6896964311599731,0.10520277917385101,0.6359349489212036,0.25130295753479004,0.8478147983551025,-0.3747207522392273,0.9907428622245789,0.2459118515253067,0.6686421632766724,0.10777966678142548,0.608487606048584,0.24325965344905853,0.8421629071235657,-0.3369154930114746,0.9892640709877014,0.24205398559570312,0.6846538782119751,0.04738505929708481,0.6209168434143066,0.25585708022117615,0.8329436182975769,-0.2993023991584778,0.9819667339324951,0.2629380226135254,0.728312075138092,0.07787951827049255,0.6179689764976501,0.5189261436462402,0.29367905855178833,-0.13682009279727936,0.9991934895515442,0.5075730681419373,0.22433248162269592,0.13753922283649445,0.9963261485099792,0.6885949969291687,0.4263154864311218,-0.02720039151608944,0.9891071915626526,0.6762760281562805,0.38153529167175293,0.3163212835788727,0.1980953961610794,0.8678280115127563,0.49513596296310425,0.10586962848901749,0.9878232479095459,0.8365305662155151,0.4029701352119446,0.5623219609260559,0.40172162652015686,0.9154397249221802,0.4779031276702881,0.11426369845867157,0.9868428111076355,0.867680013179779,0.39531809091567993,0.5861368179321289,0.5998502969741821,0.8497365713119507,0.6178025603294373,0.022323431447148323,0.9879456758499146,0.8242197036743164,0.5663860440254211,0.5253220200538635,0.7048546075820923
1,33,0.13091561198234558,0.3242252767086029,-0.1332288384437561,0.9998465776443481,0.119350116699934,0.3113171309232712,-0.1740649789571762,0.9998679757118225,0.12053418159484863,0.31134557723999023,-0.1741292104125023,0.999848484992981,0.121897853910923,0.3114975839853287,-0.1742394044995308,0.9998820424079895,0.11709891259670258,0.3069915324449539,-0.13300959765911102,0.9998294115066528,0.11663167178630829,0.30373629927635193,-0.13308726996183395,0.9997937381267548,0.1158859133720398,0.29392650723457336,-0.13318738341331482,0.9998836815357208,0.1346939131617546,0.2888156622648239,-0.27311524748802185,0.999727338552475,0.12776412069797516,0.26907458901405334,-0.08956865593791008,0.9998855888843536,0.15317191928625107,0.3159788101911545,-0.15973462909460068,0.9998138844966888,0.1504269391298294,0.3128131330013275,-0.1055808924138546,0.9998188614845276,0.23515763133764267,0.3306596577167511,-0.3512362539768219,0.999870091676712,0.23348330706357956,0.19566037505865097,0.05229705385863781,0.9995231330394745,0.27627238631248474,0.5984321534633636,-0.36823907494544983,0.9968037903308868,0.2593739628791809,0.4604648947715759,0.13068342953920364,0.5862135589122772,0.2771048992872238,0.8202627599239349,-0.3220846354961395,0.9947979748249054,0.2747388333082199,0.7010650634765625,0.08541438356041908,0.6340726613998413,0.251328781247139,0.848015695810318,-0.3836961090564728,0.9908381998538971,0.24392808228731155,0.6840331852436066,0.08598987385630608,0.6070005893707275,0.24337796866893768,0.8429186940193176,-0.3453338146209717,0.9893752038478851,0.24065407365560532,0.6985855996608734,0.028824003878980875,0.6193452179431915,0.2558088153600693,0.8337352871894836,-0.30948206782341003,0.9821519255638123,0.25873254239559174,0.7283117473125458,0.05939548835158348,0.6162502467632294,0.5202149450778961,0.2962756007909775,-0.1336873397231102,0.9991852641105652,0.5076766908168793,0.22795046120882034,0.13434093445539474,0.9962559342384338,0.6919980347156525,0.42784637212753296,-0.012488390551880002,0.9890676438808441,0.6769538521766663,0.3827146291732788,0.30719831585884094,0.20038442313671112,0.8693654239177704,0.4940887838602066,0.12590789422392845,0.9877980649471283,0.8359513282775879,0.4050747752189636,0.54630047082901,0.4041489511728287,0.9177186787128448,0.4731498062610626,0.13497217744588852,0.9868870973587036,0.8676884770393372,0.3953468054533005,0.5692966878414154,0.6019829213619232,0.8497227132320404,0.6177953779697418,0.04665967170149088,0.9878834784030914,0.8246283233165741,0.5663573145866394,0.5080502331256866,0.7066207826137543
2,66,0.13212827841440836,0.32869940996170044,-0.1303276444474856,0.9998499552408854,0.11992612232764562,0.3159780104955037,-0.1710873544216156,0.9998709162076315,0.12108827879031499,0.3155992428461711,-0.17113250494003296,0.9998519817988077,0.12242341786623001,0.3153102497259776,-0.17122023304303488,0.9998846252759298,0.11760913580656052,0.31221218903859455,-0.1304603467384974,0.9998331864674886,0.11708211898803711,0.30896418293317157,-0.13053790231545767,0.9997984369595846,0.11634859442710876,0.3005434374014537,-0.13063236077626547,0.999886135260264,0.13457326094309488,0.2926718791325887,-0.2700755794843038,0.9997338255246481,0.12741358081499735,0.27270328998565674,-0.08815813312927882,0.9998881618181864,0.15365929901599884,0.31874624888102215,-0.15682943165302277,0.9998183449109396,0.15074353416760763,0.3161381781101227,-0.10314812511205673,0.999822994073232,0.23525609572728476,0.3272841473420461,-0.3445808490117391,0.9998725255330404,0.22864564259847006,0.19609513878822327,0.05049348622560501,0.9995317260424296,0.2757773697376251,0.5966241955757141,-0.36520342032114667,0.9968593915303549,0.2588517765204112,0.4617075026035309,0.12762365490198135,0.5847251613934835,0.27690886457761127,0.821066697438558,-0.31864407658576965,0.9948369860649109,0.27365776896476746,0.7045394778251648,0.08142929275830586,0.6341426968574524,0.2511116564273834,0.8483721613883972,-0.3781728347142537,0.9908841451009115,0.24190324544906616,0.6882191697756449,0.08172934750715892,0.607005774974823,0.24293133119742075,0.8432700236638387,-0.3406583269437154,0.9894285996754965,0.24022944768269858,0.7082679669062296,0.025285969488322735,0.6191029946009318,0.25523053606351215,0.8343514998753866,-0.3062472641468048,0.9822456439336141,0.2564883331457774,0.7290396094322205,0.055801464865605034,0.6158040960629781,0.5206348697344462,0.2979593674341838,-0.13224765161673227,0.9991844296455383,0.5076419512430826,0.2300172100464503,0.13286332786083221,0.9962456623713175,0.6930252114931742,0.42894182602564496,-0.008429365669144318,0.9889836112658182,0.6766400933265686,0.38429073492685956,0.3033742606639862,0.20349054535230002,0.8698412179946899,0.4937065641085307,0.1296061302224795,0.9877105553944906,0.8359693884849548,0.41188276807467145,0.5374688108762106,0.40833379824956256,0.9183666110038757,0.47192829847335815,0.1388247807820638,0.9869006872177124,0.8701079686482748,0.39946243166923523,0.5598621765772501,0.6057865222295126,0.8497238159179688,0.6181441942850748,0.05215941679974397,0.987723688284556,0.8249845107396444,0.5666816830635071,0.49925397833188373,0.7086909015973409
3,100,0.13267812877893448,0.3321894481778145,-0.13208949007093906,0.9998535662889481,0.12020721659064293,0.31926485896110535,-0.1728646345436573,0.9998739808797836,0.12135902233421803,0.3185937851667404,-0.17290101572871208,0.9998556226491928,0.1226822379976511,0.31800365447998047,-0.17297382652759552,0.9998872876167297,0.11785837076604366,0.315933920443058,-0.13270888850092888,0.9998372048139572,0.11729796789586544,0.3127104863524437,-0.1327950544655323,0.9998034536838531,0.11657646112143993,0.30553680658340454,-0.1328909806907177,0.9998887628316879,0.13451077789068222,0.2953653261065483,-0.2710608169436455,0.9997405856847763,0.12711069360375404,0.275064155459404,-0.0911690965294838,0.9998909384012222,0.15385033562779427,0.32079631090164185,-0.15831035003066063,0.999823197722435,0.15074805170297623,0.31856946647167206,-0.10516749694943428,0.9998276829719543,0.23526355996727943,0.32436417788267136,-0.34191398322582245,0.9998752474784851,0.22475579753518105,0.19624929875135422,0.04387354478240013,0.9995425045490265,0.275361031293869,0.5955695807933807,-0.36536117643117905,0.9969160705804825,0.25669970363378525,0.46266498416662216,0.12065903097391129,0.5835642665624619,0.27654461562633514,0.8226736187934875,-0.3186778500676155,0.9948588162660599,0.27273161709308624,0.706122949719429,0.0729385381564498,0.6347747445106506,0.25041378661990166,0.8495756089687347,-0.37691909074783325,0.9909043610095978,0.2405225671827793,0.6910535991191864,0.07247109711170197,0.6075945347547531,0.2419501543045044,0.8447566330432892,-0.34104856848716736,0.989454060792923,0.23964207619428635,0.7118844091892242,0.01768036384601146,0.6194197833538055,0.25426479429006577,0.835881382226944,-0.3068767488002777,0.9822979718446732,0.25479232147336006,0.7275937348604202,0.04802571190521121,0.6158826351165771,0.5208598971366882,0.2989167347550392,-0.13121439889073372,0.9991887211799622,0.5069441199302673,0.23259414359927177,0.1317916288971901,0.996267706155777,0.6935338079929352,0.4294945225119591,-0.0040185475736507215,0.9889045506715775,0.6756313443183899,0.3853059485554695,0.29930686205625534,0.2072353959083557,0.8695984184741974,0.4930058419704437,0.14132796041667461,0.9875741451978683,0.8355581611394882,0.41527729481458664,0.5296710878610611,0.41355179250240326,0.9171909242868423,0.4711543619632721,0.15159039199352264,0.9868801534175873,0.8711099028587341,0.4018821343779564,0.5516975522041321,0.6106635183095932,0.8496412187814713,0.6183854937553406,0.06914755189791322,0.9874968975782394,0.8251244425773621,0.5668434798717499,0.4922005832195282,0.7113151550292969
4,133,0.13298498392105101,0.33461871147155764,-0.12637775987386704,0.9998571276664734,0.12032851576805115,0.3214595913887024,-0.16759951114654542,0.9998770475387573,0.12145068794488907,0.3207391560077667,-0.1676308512687683,0.9998592257499694,0.12272347658872604,0.3201126456260681,-0.16769159138202666,0.9998899459838867,0.11797670423984527,0.3181917488574982,-0.12836176455020903,0.999841320514679,0.11738995164632797,0.314977365732193,-0.12845146358013154,0.9998085379600525,0.11666989475488662,0.30814658403396605,-0.1285464808344841,0.9998914480209351,0.13437746167182923,0.29812014698982237,-0.267606657743454,0.9997474074363708,0.12682019174098969,0.27657275795936587,-0.09188328534364701,0.9998937964439392,0.15384298264980317,0.3223515868186951,-0.15314771234989166,0.9998279929161071,0.15065728425979613,0.3200869619846344,-0.1012111023068428,0.9998324036598205,0.23478545844554902,0.32274961471557617,-0.33685919642448425,0.999877679347992,0.22203903794288635,0.19470717012882233,0.040640861913561824,0.999553108215332,0.2749782204627991,0.5960347294807434,-0.3586145222187042,0.9969439268112182,0.2553054213523865,0.46318798661231997,0.11795366704463958,0.5823798418045044,0.2760938823223114,0.8238051176071167,-0.30699713826179503,0.9947795748710633,0.2712435722351074,0.7013243913650513,0.0698596678674221,0.6343268275260925,0.24963491261005402,0.850296151638031,-0.3631934583187103,0.9907583951950073,0.2394532710313797,0.6918058514595031,0.06926546543836594,0.607065761089325,0.24083912670612334,0.845639681816101,-0.32865427136421205,0.9892886638641357,0.23891459703445433,0.7129079580307007,0.014546804176643491,0.6185628414154053,0.25334427654743197,0.8368064522743225,-0.2955615758895874,0.9820765852928162,0.2534178107976913,0.7234434962272644,0.04422282986342907,0.6147614598274231,0.5211507558822632,0.3001367747783661,-0.12953645288944243,0.9991860151290893,0.5065338730812072,0.23409956693649292,0.13007347881793976,0.9962670207023621,0.6938406944274902,0.42998515963554385,0.0015685196209233253,0.9887799143791198,0.6750884175300598,0.3855122089385986,0.29751824140548705,0.21115520894527434,0.8692642211914062,0.4921845972537994,0.15121566504240036,0.9873605847358704,0.8356491327285767,0.4172316908836365,0.5265128016471863,0.41907506585121157,0.9158381342887878,0.47038838267326355,0.16227987408638,0.9868192672729492,0.8720035076141357,0.40330971479415895,0.5484549880027771,0.6157934188842773,0.8495502471923828,0.6181864380836487,0.0836491633206606,0.9871054530143738,0.8251918911933899,0.5668632984161377,0.48982701897621156,0.7134082555770874
5,166,0.13295360406239828,0.3369466116031011,-0.12265507504343987,0.9998603761196136,0.12012033661206563,0.3234253873427709,-0.16381031026442847,0.999879906574885,0.12121423085530598,0.3226584543784459,-0.16383688151836395,0.9998625715573629,0.12244000285863876,0.32197918991247815,-0.1638912856578827,0.9998924235502878,0.11779481048385303,0.32015280425548553,-0.1251975099245707,0.9998452564080557,0.11720318347215652,0.3169097950061162,-0.12528887391090393,0.9998133877913157,0.11651132628321648,0.3105513006448746,-0.1253846324980259,0.9998940130074819,0.13409478465716043,0.3004346191883087,-0.26397793491681415,0.9997538030147552,0.12644421060880026,0.2779660274585088,-0.09171807890137036,0.9998965263366699,0.15355088810125986,0.324028139313062,-0.14952594290177026,0.999832441409429,0.150320736070474,0.32160348693529767,-0.09841690957546234,0.9998368223508199,0.23440763354301453,0.32213397820790607,-0.332708939909935,0.9998798668384552,0.22030247747898102,0.19406603028376898,0.03903613270570835,0.999562551577886,0.27469732860724133,0.5961695710817972,-0.3525799761215846,0.9969618618488312,0.25440067301193875,0.4634921650091807,0.11686912675698598,0.5806622207164764,0.27579623957475025,0.8245773812135061,-0.29728785902261734,0.994683583577474,0.27025334040323895,0.7018872102101644,0.06812185607850552,0.6330420672893524,0.24910572171211243,0.850783904393514,-0.35235392053922016,0.9905847112337748,0.23860245694716772,0.6928136845429739,0.06735292139152686,0.6057317852973938,0.2400697519381841,0.8462180197238922,-0.31834876040617627,0.989091952641805,0.23823209603627524,0.7137075165907542,0.014601433222802976,0.6169375876585642,0.2526521061857541,0.837412436803182,-0.2859422092636426,0.9818072021007538,0.25256343682607013,0.7236684064070383,0.04301935030768315,0.6129526694615682,0.5217026174068451,0.30132439235846203,-0.12820007279515266,0.9991840124130249,0.5062643885612488,0.23518886168797812,0.12871579204996428,0.9962646861871084,0.6942389408747355,0.4308501183986664,0.003894444802426733,0.9886784156163534,0.6746744513511658,0.38608047366142273,0.29719113806883496,0.2143312767148018,0.8692682882150015,0.49175262451171875,0.15472297246257463,0.9871714611848196,0.8356747627258301,0.418902392188708,0.524878740310669,0.42337701221307117,0.9149648149808248,0.4699222892522812,0.1660201003154119,0.9867678880691528,0.8725548585255941,0.404358650247256,0.5468375285466512,0.6199694375197092,0.8496140241622925,0.6186579068501791,0.08851631637662649,0.9867751399676005,0.8247003356615702,0.5668862064679464,0.48943840463956195,0.7149175306161245
6,200,0.1324747226067952,0.33860842670713154,-0.11464403569698334,0.9998635394232613,0.11959380443607058,0.3251974710396358,-0.1559934573514121,0.999882698059082,0.12066732666322164,0.3244686595031193,-0.1560107639857701,0.9998658043997628,0.12186034343072347,0.3238259809357779,-0.15605440203632628,0.9998948233468192,0.11730161841426577,0.32150249821799143,-0.11793273793799537,0.999849157673972,0.1167232660310609,0.31820098417145865,-0.11802387982606888,0.9998181717736381,0.11607915375913892,0.31214923518044607,-0.11811735800334386,0.9998965518815177,0.1336637692792075,0.3026041345936911,-0.25776813498565126,0.9997598869459969,0.12591451512915747,0.2790224381855556,-0.08836308334554945,0.9998992085456848,0.1525141085897173,0.32547194191387724,-0.14209007046052388,0.9998366747583661,0.14962843699114664,0.3228573373385838,-0.09174514402236257,0.999841034412384,0.23376616835594177,0.32234575918742586,-0.32687329394476755,0.999881889138903,0.21895066116537368,0.19254831543990544,0.039717808631914,0.999571544783456,0.274480083159038,0.5971487079347882,-0.3448587315423148,0.99697231394904,0.2537918452705656,0.46224352717399597,0.11810962217194694,0.5788590652602059,0.27555589590753826,0.8253224236624581,-0.2864519144807543,0.9945680839674813,0.27009849888937815,0.6974220361028399,0.07196901578988348,0.6307654295648847,0.24872600393635885,0.8512049913406372,-0.34047254494258333,0.9903814622334072,0.23867237780775344,0.6961003286497933,0.07221054871167455,0.603369516985757,0.23952490942818777,0.8466166343007769,-0.3064184423003878,0.9888590829713004,0.23815940746239253,0.7146996515137809,0.02056287618220917,0.6142590471676418,0.252090864947864,0.8378639817237854,-0.27496959056173054,0.9814756682940892,0.2520150350672858,0.7238978828702655,0.047578673011490276,0.6101200921194894,0.5219334704535348,0.3021539534841265,-0.1270739468080657,0.9991816878318787,0.5060733982494899,0.23458998118128097,0.12757300691945211,0.9962604301316398,0.694065340927669,0.43157500454357695,0.003161713044391945,0.9885913218770709,0.674139780657632,0.38647890090942383,0.2976729614394052,0.2171019592455455,0.8692148412976947,0.4914496455873762,0.1516155589904104,0.9870187810489109,0.8356481620243618,0.4200336124215807,0.524225149835859,0.4273327078138079,0.9143005864960807,0.46959645407540457,0.1628801098891667,0.9867396695273263,0.8729241575513568,0.4052642711571285,0.5462406618254525,0.6239262819290161,0.8495598690850394,0.6189916900226048,0.08688393155378955,0.9864682555198669,0.8242732116154262,0.5668620467185974,0.4899206587246486,0.7159582802227565
7,233,0.13189253211021423,0.33987758681178093,-0.10724132368341088,0.9998665377497673,0.11896775476634502,0.3267340548336506,-0.148420300334692,0.9998854100704193,0.11999846436083317,0.3260009177029133,-0.14843112789094448,0.9998689442873001,0.12114332057535648,0.32536180689930916,-0.14847074262797832,0.9998971819877625,0.11677422188222408,0.32287370413541794,-0.11058257101103663,0.9998528957366943,0.11621983721852303,0.3192854933440685,-0.11067147785797715,0.9998227208852768,0.11562997382134199,0.3135008253157139,-0.11076446762308478,0.9998989924788475,0.13307707756757736,0.30409105494618416,-0.2501056734472513,0.9997657462954521,0.12545078247785568,0.2799469754099846,-0.08172990195453167,0.999901793897152,0.15163292735815048,0.32660603150725365,-0.13470587693154812,0.9998406693339348,0.14900538511574268,0.3238529972732067,-0.08465276844799519,0.9998449310660362,0.23273959942162037,0.32252174615859985,-0.3194117583334446,0.999883845448494,0.21794742718338966,0.1913615558296442,0.04456139751709998,0.9995793104171753,0.274266354739666,0.5975173264741898,-0.33821649849414825,0.9969837367534637,0.25381156243383884,0.4613688625395298,0.12196261249482632,0.5770954638719559,0.2753431089222431,0.8258760944008827,-0.27947729267179966,0.994480587542057,0.27026083692908287,0.6938225850462914,0.07598261767998338,0.6285039559006691,0.24842332676053047,0.8515186980366707,-0.3327922821044922,0.9902202785015106,0.2393928375095129,0.6988241076469421,0.07662691967561841,0.6010293141007423,0.23911776021122932,0.8468695878982544,-0.2981251962482929,0.9886727631092072,0.23861704394221306,0.7153511047363281,0.025817218847805634,0.6116336733102798,0.25153266824781895,0.838197648525238,-0.2676607109606266,0.9812108799815178,0.25164644233882427,0.7240298613905907,0.05211831699125469,0.607328787446022,0.5221104472875595,0.30275898799300194,-0.1261827014386654,0.9991780072450638,0.5059323459863663,0.23424548096954823,0.12667584978044033,0.996236763894558,0.694129653275013,0.4321518614888191,0.0018489658505131956,0.988524504005909,0.6740952581167221,0.3867719694972038,0.2974545545876026,0.21933247335255146,0.869649313390255,0.4915833957493305,0.14522745460271835,0.9869210422039032,0.8356307297945023,0.42084141820669174,0.5234384015202522,0.4303436316549778,0.9142459779977798,0.46937092766165733,0.15599118638783693,0.9867398887872696,0.8731756210327148,0.40591127797961235,0.5454658940434456,0.6269282847642899,0.8495458960533142,0.6191514953970909,0.07905073533765972,0.9862408488988876,0.8240859732031822,0.5667956694960594,0.489457905292511,0.7166086509823799
8,266,0.13128215736813015,0.340823190079795,-0.10347876076896985,0.9998696578873528,0.11832945462730196,0.32783374521467423,-0.14418863587909275,0.999888194931878,0.11933283342255487,0.3271026247077518,-0.14418852743175295,0.9998721679051717,0.1204494908452034,0.32647409041722614,-0.14421560698085362,0.9998996191554599,0.11621540536483128,0.3238553437921736,-0.10684749608238538,0.9998567038112216,0.11568566328949398,0.32008059157265556,-0.10694037253657977,0.9998273452123007,0.11514588776561949,0.3144964079062144,-0.10703587407867114,0.9999015000131395,0.1324838830365075,0.3051747679710388,-0.24462901055812836,0.999771687719557,0.12496009634600745,0.2806386848290761,-0.0780192832979891,0.9999044007725186,0.15087541275554234,0.32744842105441624,-0.13043258587519327,0.9998447299003601,0.14839354819721645,0.32458913657400346,-0.08097596052620146,0.9998489022254944,0.23187458349598777,0.322619507710139,-0.31526053614086574,0.9998859895600213,0.2171581056382921,0.19058476388454437,0.04674378554854128,0.9995876815583971,0.2740325199233161,0.5976352625423007,-0.3336017429828644,0.9970005022154914,0.2538946916659673,0.46072333057721454,0.1228155212269889,0.5755865838792589,0.2746291094356113,0.8262910511758592,-0.27472269700633156,0.9944126274850633,0.2703715099228753,0.6912366218037076,0.07576076893342866,0.6267553170522054,0.24761348300509983,0.8517474598354764,-0.32819339632987976,0.9900920126173232,0.23994030058383942,0.6999912526872423,0.07622207990951008,0.599130650361379,0.23809100025229984,0.8469255699051751,-0.29274239308304256,0.9885245164235433,0.2389674335718155,0.7154291603300307,0.02646686604970859,0.6094589961899651,0.2504672904809316,0.8384177751011319,-0.262497850590282,0.9810011121961806,0.2513722694582409,0.7227726380030314,0.05240027171870073,0.6049801641040378,0.5220470560921563,0.3032226529386308,-0.1255216027299563,0.9991774559020996,0.5058035519387987,0.2340926859113905,0.12601095769140455,0.996232377158271,0.6941769321759542,0.43263497948646545,0.002240405388874933,0.9884731637107002,0.6739831235673692,0.3871097200446659,0.2974117663171556,0.22173856529924604,0.8694115744696723,0.49166170093748307,0.1474129060904185,0.9868305987781949,0.835581984784868,0.42184312144915265,0.523126224676768,0.43362968497806126,0.9140119287702773,0.4692993395858341,0.15848799132638508,0.9867428541183472,0.8733331494861178,0.40655426184336346,0.5451598962148031,0.6301549871762594,0.8492140769958496,0.6193779971864488,0.08233149494561884,0.9860486719343398,0.8237346543206109,0.5667413539356656,0.4894860519303216,0.7177103161811829
9,300,0.13079408705234527,0.341740146279335,-0.10013026483356953,0.9998725414276123,0.11781191751360894,0.32877689599990845,-0.14057445153594017,0.9998907804489136,0.11878682971000672,0.32803172767162325,-0.14056883230805398,0.9998751640319824,0.11987059861421585,0.3273972809314728,-0.1405927710235119,0.9999018907546997,0.11576899662613868,0.3247228264808655,-0.10322604216635227,0.9998602271080017,0.11525945961475373,0.32083396017551424,-0.10331807844340801,0.9998316168785095,0.1147583544254303,0.31544018983840943,-0.10341349504888057,0.9999038219451905,0.131956247985363,0.3060120910406113,-0.24027832895517348,0.9997771799564361,0.12456409707665443,0.2811785936355591,-0.07343364469707012,0.9999068021774292,0.15028253346681594,0.32815149128437043,-0.12685549184679984,0.9998484253883362,0.147911873459816,0.32518659234046937,-0.07737288028001785,0.9998524725437165,0.23110467791557313,0.3222096860408783,-0.31139219403266905,0.9998879611492157,0.2165972039103508,0.19000211358070374,0.05114375595003366,0.9995952308177948,0.27379474341869353,0.5976622819900512,-0.33062905371189116,0.9970169723033905,0.2541434451937675,0.46021018326282503,0.12571775764226914,0.5734571695327759,0.27399185597896575,0.8266112744808197,-0.2717121586203575,0.9943593800067901,0.2704396605491638,0.6905308306217194,0.07645311541855335,0.6245423495769501,0.24695125967264175,0.8519020199775695,-0.32502529621124265,0.9899872839450836,0.2406146615743637,0.6998622417449951,0.07673773877322673,0.5968641221523285,0.23727813065052034,0.846920645236969,-0.2891181603074074,0.9884021699428558,0.23947421163320542,0.7148296475410462,0.02784601200837642,0.6069343328475952,0.24948161691427231,0.838579249382019,-0.2592522010207176,0.9808261215686798,0.25153442174196244,0.7209465324878692,0.05346201788634062,0.6023095369338989,0.5218321144580841,0.3035856753587723,-0.1250186011195183,0.9991763353347778,0.5057019829750061,0.23406340926885605,0.1255055047571659,0.9962277591228486,0.6941636621952056,0.4330152779817581,0.0006739545351592824,0.9884310066699982,0.6739256620407105,0.38739015758037565,0.2962152034044266,0.22424789816141127,0.8692260801792144,0.4913113355636597,0.1449647404253483,0.9867674291133881,0.83599573969841,0.422418212890625,0.5211542010307312,0.4370989501476288,0.9139574646949769,0.4691143423318863,0.15590042844414712,0.9867606163024902,0.8739120900630951,0.4070496499538422,0.5430548965930939,0.6334082603454589,0.8490666449069977,0.6188008546829223,0.07895407136529684,0.9859001278877259,0.8235628485679627,0.5666403591632843,0.48659847378730775,0.7190684258937836
